Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Old Part #
M-01053,"SPACER,BASE PIVOT,OHC",EA,11.3,5.65,,,,24-0748
M-01059,"PIN,OPERATOR,HOUSING BASE",EA,14.5,7.25,,,,24-0701
M-01061,"HUB, ROLLER TRACK",EA,47.0,23.5,,,,14-9032
M-01062,"GASKET,BULB,3/16 X 1/2",IN,1.47,0.74,,,,24-12872-02
M-01063,"ROLLER,DOOR,TELESCOPING",EA,28.0,14.0,,,,14-10025
M-01067,"BAR,RECT.,STEEL,3/16 X 1/2,1018",IN,1.47,0.74,,,,14-3969
M-01070,"HARNESS,BREAKOUT,1175,15""",EA,44.0,22.0,,,,22-9367
M-01072,"HARNESS,POWER,MAGNUM/OPUS",EA,28.0,14.0,,,,21-9933
M-01074,"HARNESS,MOTOR,GT710",EA,37.0,18.5,,,,
M-01080,"ARM STOP, 710",EA,12.6,6.3,,,,14-11586
M-01081,"BAR,RECT.,ALUM.,3/16 X 1-1/4,6061-T6",IN,1.47,0.74,,,,14-5114
M-01082,"SHOE,ARM,MILL",EA,4.76,2.38,,,,14-8841-03
M-01085,"HARNESS, POWER SWITCH - SWINGERS/710",EA,12.6,6.3,,,,11-13185
M-01086,"SUPPORT,ROLLER,ARM,INSWING",EA,64.0,32.0,,,,24-2304
M-01088,"SPRING,COMPRESSION,SS",EA,3.23,1.62,,,,14-5872-02
M-01089,"SHAFT,CENTER,PIVOT",EA,10.0,5.0,,,,24-0517
M-01093,"CLIP,RAIL,TELE",EA,17.0,8.5,,,,14-10710
M-01094,"PLATE,SWITCH,KEY,ON/OFF/HOLD OPEN",EA,28.0,14.0,,,,10-3101
M-01095,"SPACER,NO BREAKOUT,CARRIER/TOP RAIL",EA,23.0,11.5,,,,14-5940
M-01096,"ARM,LOCK,SLIDER",EA,28.0,14.0,,,,24-10798
M-01099,"PLATE,SWITCH,ON-OFF",EA,28.0,14.0,,,,10-3119
M-01104,"PULLEY,DRIVE,ASSEMBLY",EA,91.0,45.5,,,,11-9906
M-01106,"BAR,RECT.,ALUM.,1-1/4 X 1-1/2,6061-T6",IN,8.4,4.2,,,,14-2734
M-01107,"PIVOT,BOTTOM,SWING PANEL,2100",EA,14.5,7.25,,,,14-10724
