Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Net Before Tariff
10LZRFLATSCANREVPZ-SM,LZR®-FLATSCAN REV-PZ SURFACE MOUNT,EA,1182.5,636.09,,,,600.08
10LZRFLATSCAN-RS,"LZRFLATSCAN Sensor ONLY, RIGHT SILVER",EA,908.25,427.64,,,,403.44
10LZRFLATSCAN-RW,"LZRFLATSCAN Sensor ONLY, RIGHT WHITE",EA,908.25,427.64,,,,403.44
10LZRFLATSCAN-S,FLATSCAN S,EA,1485.22,1077.96,,,,1016.94
10LZRFLATSCAN-SWB,"LZRFLATSCAN KIT, BLACK, 2 sensors + Cables & Accessories",EA,1793.54,845.45,,,,797.59
10LZRFLATSCAN-SWBU,"LZRFLATSCAN KIT, BLACK, 2 sensors + Cbls & Accssy & Pwr Sply",EA,1873.31,864.46,,,,815.53
10LZRFLATSCAN-SWS,"LZRFLATSCAN KIT, SILVER, 2 sensors + Cables & Accessories",EA,1831.74,863.38,,,,814.51
10LZRFLATSCAN-SWW,"LZRFLATSCAN KIT, WHITE, 2 sensors + Cables & Accessories",EA,1831.74,863.38,,,,814.51
10LZRFLATSCAN-WLB,LZR FLATSCAN W LEFT BLACK,EA,1142.7,522.32,,,,492.75
10LZRFLATSCAN-WRB,LZR FLATSCAN W RIGHT BLACK,EA,1142.7,522.32,,,,492.75
10LZRH100,LZR®-GOLD-BLACK BLK-02 H100,EA,1994.39,1124.88,,,,1061.21
10LZRI30,"Laser Scanner, I30 US Market US wire colors, US config.",EA,1994.39,1124.88,,,,1061.21
10LZRMICROLEFT-T,Microscan Replacement LEFT Replacement LEFT,EA,644.83,304.22,,,,287.0
10LZRMICRORIGHT-T,Microscan Replacement RIGHT Replacement RIGHT,EA,644.83,304.22,,,,287.0
10LZRMICROSCAN1T,"LZR Microscan Kit, 1 DOOR 2 Microscans + Hub + cables",EA,1807.54,852.87,,,,804.59
